index,eigenvalue
0,-8.166322571509857e-15
1,3.5803729457391613
2,8.971658961997981
3,28.99149661184461
4,30.854234108341807
5,32.0265605480004
6,32.267604827674646
7,32.62238105828811
8,32.77190250439936
9,33.11390092331224
10,33.61807033732061
11,33.66468786594107
12,33.90578625597606
13,33.9175972701322
14,34.14715715846213
15,34.33790249143868
16,34.48910692146562
17,34.501533265733656
18,34.567334296982104
19,34.767283598369396
20,34.80784893408462
21,34.836213598755315
22,34.985788305999584
23,35.041373244179034
24,35.09152649642783
25,35.14571725835985
26,35.20015094800083
27,35.27084885005749
28,35.326022830632766
29,35.338393918216305
30,35.46383642762698
31,35.54225303284291
32,35.54931479900126
33,35.67806182890617
34,35.68279423447759
35,35.72346313713969
36,35.93052037199795
37,35.9491857939516
38,35.984347753337275
39,36.056035343267986
40,36.091887640529656
41,36.207191558068246
42,36.241471917966955
43,36.25101090754871
44,36.370231097677696
45,36.374684548840094
46,36.42247395695837
47,36.559649304849714
48,36.56320030938861
49,36.614415873286994
50,36.67689683836439
51,36.75377489023734
52,36.779924924579156
53,36.88155784754247
54,36.94321868828455
55,36.97536338855233
56,37.06074844984813
57,37.236087280848686
58,37.246383020901526
59,37.398836993627924
60,37.404038756071316
61,37.428735097381114
62,37.44733350621886
63,37.47549404325832
64,37.50126766141202
65,37.60151524456367
66,37.72992788830807
67,37.74562250372952
68,37.80937517018991
69,37.818682429104214
70,37.85124752353886
71,37.88624149592786
72,37.95091502290135
73,37.96942265773176
74,38.025356967561386
75,38.156615494030255
76,38.18306007802723
77,38.264621208469286
78,38.33170268753591
79,38.342215721956585
80,38.37321437798517
81,38.48831031046651
82,38.512234363365046
83,38.52106072741411
84,38.57478062785102
85,38.591114338927106
86,38.603956179077755
87,38.6781724929725
88,38.699621248060815
89,38.726205660822274
90,38.73093232468299
91,38.8412272773432
92,38.87626683318541
93,38.91501331566238
94,38.97863775505255
95,38.98495095404345
96,39.0428558700682
97,39.18850267515002
98,39.20542002111001
99,39.41877127287026
100,39.59553387397616
101,39.91773518610019
102,40.16138512177338
103,40.22669828020342
104,40.363988149678356
105,40.45685755832877
106,40.49745728509377
107,40.60061944732
108,40.622323765607774
109,40.808454033809376
110,41.043898120352935
111,41.09643111363747
112,41.205426766816146
113,41.3064222070076
114,41.41639046834884
115,41.60989852333492
116,41.792420701253945
117,41.8717643651885
118,42.104143465199236
119,42.492167077746714
