p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.09078570188818e-22,1.43254645490459,0.356,0.125,1.49590351156946e-18,0,TRADD
3.52949225215531e-38,1.41036428173595,0.557,0.216,4.8403456746058e-34,0,PLP2
3.3684421335975e-15,1.38235551453489,0.296,0.12,4.619481542015619e-11,0,DOK2
4.71781805332307e-33,1.35584149611603,0.616,0.288,6.47001567832726e-29,0,S100A11
5.460124240684631e-20,1.22701127540048,0.397,0.165,7.4880143836749e-16,0,ALOX5AP
3.76408896319245e-14,1.19718387034576,0.274,0.11,5.16207160412212e-10,0,CD40LG
4.24911968004614e-19,1.16982298118429,0.346,0.136,5.8272427292152805e-15,0,TIMP1
5.15093207178791e-14,1.11504288443665,0.259,0.101,7.06398824324994e-10,0,LIMS1
2.87844775713334e-06,1.07134149322689,0.424,0.293,0.0394750325413266,0,ISG15
6.27118993376112e-10,1.04322260395315,0.317,0.167,8.60030987516e-06,0,ANXA5
1.2356684119506e-16,1.02798994522098,0.282,0.107,1.6945956601490499e-12,0,CORO1B
8.581191763254721e-52,1.0066788741132,0.959,0.724,1.1768246384127501e-47,0,S100A4
1.80840229635696e-09,0.996844991098612,0.284,0.141,2.48004290922394e-05,0,OPTN
1.04758594848619e-48,0.9711269143138,0.982,0.796,1.43665936975396e-44,0,LTB
1.68819141448327e-17,0.964110182435529,0.43,0.209,2.31518570582236e-13,0,LGALS1
1.2563835711498602e-09,0.949541152326058,0.259,0.125,1.72300442947491e-05,0,LINC00936
1.08719650786313e-08,0.900833429377904,0.284,0.147,0.0001490981290883,0,GNB2
7.023674661265881e-09,0.897821626995631,0.315,0.167,9.63226743046002e-05,0,IFI44L
3.80915736005165e-48,0.88008813339181,0.939,0.779,5.22387840357483e-44,0,VIM
1.82020031200315e-10,0.852543954590231,0.356,0.193,2.49622270788112e-06,0,ARHGDIA
8.73298825521474e-17,0.805785932769792,0.514,0.273,1.19764200932015e-12,0,CRIP1
2.77669866856066e-21,0.790380677516868,0.78,0.537,3.80796455406409e-17,0,S100A10
8.15735577295717e-09,0.768783948556935,0.422,0.247,0.0001118699770703,0,TNFAIP8
6.76813853836084e-13,0.747045197658631,0.452,0.237,9.28182519150805e-09,0,ANXA2
1.22334267358345e-05,0.727700011273821,0.269,0.161,0.167769214255234,0,TNFAIP3
1.5901119319057e-25,0.726504150232604,0.79,0.522,2.18067950341548e-21,0,ANXA1
5.998346491996241e-15,0.722206864263315,0.722,0.517,8.226132379123649e-11,0,GSTK1
0.0023729739216278,0.703417997627501,0.455,0.352,1.0,0,PSMB8
2.9169635290775e-10,0.669715231199668,0.282,0.133,4.00032378377689e-06,0,HN1
2.91274499110634e-06,0.668714364568743,0.406,0.258,0.0399453848080324,0,PSMC5
5.0747501010252e-36,1.81305065152148,0.48,0.199,6.95951228854596e-32,1,CCR7
3.84631355093149e-11,1.48698876714235,0.285,0.154,5.27483440374745e-07,1,AIF1
0.0002145467751794,1.29889455678254,0.25,0.176,1.0,1,LDLRAP1
9.573031607221469e-11,1.01087194529204,0.356,0.216,1.31284555461435e-06,1,LEF1
1.98977479325043e-08,0.910030413457714,0.358,0.238,0.0002728777151463,1,PRKCQ-AS1
6.76539911129532e-09,0.762455563982165,0.554,0.436,9.2780683412304e-05,1,RGS10
1.48415532883778e-09,0.759683825648674,0.612,0.488,2.03537061796813e-05,1,CD7
2.8598446326559e-09,0.711555650997903,0.464,0.32,3.92199092922431e-05,1,PIK3IP1
1.34489507462186e-09,0.694334395024242,0.653,0.559,1.84438910533641e-05,1,NOSIP
1.70228732176364e-13,0.685958578574073,0.697,0.565,2.33451683306666e-09,1,C6orf48
1.25121735195022e-05,0.682778492518783,0.453,0.363,0.171591947646454,1,NDFIP1
9.91551890376418e-06,0.658949143406588,0.423,0.318,0.135981426246222,1,RSL1D1
0.001593641997024,0.599289912020533,0.319,0.261,1.0,1,EEF1G
1.51011475226324e-06,0.589967303058126,0.439,0.332,0.0207097137125381,1,GYPC
0.0021903276148999,0.586034808342319,0.251,0.193,1.0,1,AAK1
1.24413651018491e-10,0.575471165070204,0.609,0.45,1.70620881006759e-06,1,SELL
0.0015999874739178,0.528473133596628,0.258,0.194,1.0,1,CD8B
0.0084457442738093,0.488142274221164,0.375,0.33,1.0,1,RHOH
0.0044419463150238,0.468688689406704,0.301,0.245,1.0,1,SNHG7
2.7352411197203603e-15,0.453777850122589,0.91,0.858,3.7511096715845e-11,1,RPL22
2.23842681565715e-64,0.450610010637396,0.998,1.0,3.0697785349922204e-60,1,RPL32
8.64033532644869e-33,0.437080928782412,0.993,0.995,1.18493558666917e-28,1,RPS3A
8.777562806808339e-40,0.415383943469801,0.998,0.995,1.2037549633256999e-35,1,RPL31
0.0039266924575354,0.407677645847641,0.28,0.217,1.0,1,C1orf162
3.70050673431597e-38,0.402895805379171,0.998,0.996,5.07487493544092e-34,1,RPL9
6.33276105800035e-05,0.394807717290505,0.402,0.306,0.868474851494168,1,TCF7
6.9945240473362e-39,0.393793185989023,1.0,0.994,9.59229027851686e-35,1,RPS23
1.2109017358248e-33,0.393278664392643,0.995,1.0,1.66063064051014e-29,1,RPS16
1.36449996104498e-25,0.376782400263317,0.984,0.987,1.87127524657709e-21,1,RPS13
3.62341893671072e-12,0.374876701744499,0.942,0.934,4.96915672980509e-08,1,BTG1
4.23096818358315e-99,6.50461760953753,0.443,0.019,5.8023497669659404e-95,2,GZMH
3.62126240978312e-181,5.42641179481533,0.97,0.156,4.966199268776559e-177,2,NKG7
3.73035676020694e-55,5.39295621524698,0.312,0.026,5.1158112609477997e-51,2,FGFBP2
1.8561850581278202e-60,4.65043669076056,0.346,0.03,2.5455721887165e-56,2,CCL4
1.5785637844244299e-43,4.57222128879369,0.283,0.032,2.16484237395966e-39,2,GZMB
6.26727467866752e-153,4.38153613981865,0.81,0.088,8.594940494324641e-149,2,CST7
2.50617483641757e-147,4.04702797771361,0.823,0.098,3.43696817066306e-143,2,GZMA
5.582336700259319e-78,3.95220175916113,0.511,0.066,7.655616550735641e-74,2,PRF1
1.5409202024359198e-94,3.70202521863276,0.616,0.082,2.11321796562062e-90,2,GZMK
5.98429568331821e-17,3.58644049101965,0.283,0.104,8.2068631001026e-13,2,GNLY
1.36003802455344e-139,3.37197515069192,0.975,0.242,1.86515614687259e-135,2,CCL5
2.96604682728888e-27,3.25295807667808,0.274,0.057,4.06763661894397e-23,2,NCR3
9.592265544468039e-36,3.22824988622918,0.287,0.045,1.3154832967683501e-31,2,PLEK
6.56265181255899e-84,2.86923068140305,0.827,0.287,9.0000206957434e-80,2,CTSW
1.44327716110486e-59,2.80433686295545,0.481,0.087,1.9793102987392e-55,2,KLRG1
1.62639657320618e-38,2.7175149307226,0.481,0.145,2.23044026049496e-34,2,APOBEC3G
1.03877077065624e-54,2.7019436313035,0.527,0.117,1.42457023487797e-50,2,CD8A
6.81259326229532e-31,2.58009991251279,0.401,0.112,9.3427903999118e-27,2,HOPX
9.41639399925453e-24,2.5574521141318,0.253,0.055,1.2913642730577701e-19,2,HLA-DRB5
